sample,success_ratio,trans_rate,switch_ratio,power
1,98.49,12.69,0.39,39.89
1,97.48,12.61,0.39,39.56
1,96.92,12.52,0.47,39.69
1,96.67,12.36,0.49,40.0
1,95.11,12.24,0.51,40.13
1,95.33,12.17,0.53,40.25
1,93.67,11.73,0.58,40.2
1,90.58,11.25,0.59,40.54
1,87.97,10.58,0.66,40.43
1,85.96,10.07,0.68,40.6
2,98.04,12.51,0.42,41.29
2,96.77,12.23,0.47,40.74
2,95.91,12.12,0.46,40.82
2,95.82,12.09,0.49,40.71
2,93.55,11.67,0.55,40.31
2,91.94,11.26,0.58,40.39
2,89.69,10.59,0.57,40.6
2,88.59,10.55,0.63,40.26
2,82.62,9.57,0.68,40.83
2,81.55,9.26,0.67,40.61
3,91.7,11.79,0.3,42.23
3,94.48,12.06,0.36,42.13
3,90.87,11.49,0.39,42.3
3,90.72,11.48,0.39,42.12
3,90.01,11.36,0.46,42.39
3,84.73,10.64,0.48,42.58
3,82.37,10.29,0.46,42.45
3,75.95,9.38,0.5,42.49
3,74.53,8.97,0.55,42.79
3,64.86,7.69,0.65,42.29
4,88.15,10.67,0.5,40.46
4,86.29,10.13,0.55,40.55
4,83.64,9.98,0.57,40.74
4,76.64,8.56,0.66,40.94
4,77.78,9.02,0.57,40.89
4,76.3,9.01,0.52,41.01
4,67.93,7.73,0.61,41.18
4,63.18,7.14,0.58,41.2
4,59.97,6.6,0.65,41.09
4,58.44,6.2,0.71,41.26
5,83.11,9.7,0.99,44.0
5,80.07,9.3,0.99,44.0
5,73.04,8.52,0.98,44.0
5,66.77,7.77,0.99,44.0
5,62.39,7.23,0.99,44.0
5,56.71,6.59,0.99,44.0
5,58.26,6.83,0.99,44.0
5,47.34,5.53,0.99,44.0
5,49.32,5.75,0.98,44.0
5,44.87,5.23,0.98,44.0
6,88.41,10.31,0.63,44.0
6,81.5,9.54,0.65,44.0
6,72.61,8.51,0.64,44.0
6,65.14,7.59,0.62,44.0
6,61.94,7.28,0.65,44.0
6,59.69,6.98,0.61,44.0
6,51.79,6.04,0.64,44.0
6,54.03,6.31,0.62,44.0
6,39.55,4.62,0.61,44.0
6,41.6,4.88,0.63,44.0
