Bpsk-1/2,Qpsk-1/2,Qpsk-3/4,16Qam-1/2,16Qam-3/4,64Qam-2/3,64Qam-3/4,64Qam-5/6,256Qam-3/4,256Qam-5/6
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.99999,1,1,1,1,1,1,1,1,1
0.99998,1,1,1,1,1,1,1,1,1
0.99997,1,1,1,1,1,1,1,1,1
0.99993,1,1,1,1,1,1,1,1,1
0.99988,1,1,1,1,1,1,1,1,1
0.99939,1,1,1,1,1,1,1,1,1
0.99825,1,1,1,1,1,1,1,1,1
0.99558,1,1,1,1,1,1,1,1,1
0.98898,1,1,1,1,1,1,1,1,1
0.97678,1,1,1,1,1,1,1,1,1
0.95364,1,1,1,1,1,1,1,1,1
0.91422,1,1,1,1,1,1,1,1,1
0.85576,1,1,1,1,1,1,1,1,1
0.77868,1,1,1,1,1,1,1,1,1
0.68385,1,1,1,1,1,1,1,1,1
0.57151,1,1,1,1,1,1,1,1,1
0.46002,1,1,1,1,1,1,1,1,1
0.3487,1,1,1,1,1,1,1,1,1
0.25537,1,1,1,1,1,1,1,1,1
0.17529,1,1,1,1,1,1,1,1,1
0.11592,1,1,1,1,1,1,1,1,1
0.07165,1,1,1,1,1,1,1,1,1
0.04285,1,1,1,1,1,1,1,1,1
0.0244,1,1,1,1,1,1,1,1,1
0.01332,1,1,1,1,1,1,1,1,1
0.00729,1,1,1,1,1,1,1,1,1
0.0037,1,1,1,1,1,1,1,1,1
0.00201,1,1,1,1,1,1,1,1,1
0.00084,1,1,1,1,1,1,1,1,1
0.00043,1,1,1,1,1,1,1,1,1
0.00016,1,1,1,1,1,1,1,1,1
0.00016,1,1,1,1,1,1,1,1,1
5.00E-05,1,1,1,1,1,1,1,1,1
3.00E-05,1,1,1,1,1,1,1,1,1
2.00E-05,0.99985,1,1,1,1,1,1,1,1
1.00E-05,0.99955,1,1,1,1,1,1,1,1
1.00E-05,0.99862,1,1,1,1,1,1,1,1
0,0.99589,1,1,1,1,1,1,1,1
0,0.99009,1,1,1,1,1,1,1,1
0,0.97804,1,1,1,1,1,1,1,1
0,0.95662,1,1,1,1,1,1,1,1
0,0.9191,1,1,1,1,1,1,1,1
0,0.86559,1,1,1,1,1,1,1,1
0,0.78674,1,1,1,1,1,1,1,1
0,0.69147,1,1,1,1,1,1,1,1
0,0.58423,1,1,1,1,1,1,1,1
0,0.47165,1,1,1,1,1,1,1,1
0,0.35948,1,1,1,1,1,1,1,1
0,0.26142,1,1,1,1,1,1,1,1
0,0.181749,1,1,1,1,1,1,1,1
0,0.121558,1,1,1,1,1,1,1,1
0,0.075447,1,1,1,1,1,1,1,1
0,0.044166,1,1,1,1,1,1,1,1
0,0.026335,1,1,1,1,1,1,1,1
0,0.014204,1,1,1,1,1,1,1,1
0,0.007832,1,1,1,1,1,1,1,1
0,0.004082,1,1,1,1,1,1,1,1
0,0.002261,0.99999,1,1,1,1,1,1,1
0,0.000991,0.99998,1,1,1,1,1,1,1
0,0.00045,0.999989,1,1,1,1,1,1,1
0,0.00032,0.999988,1,1,1,1,1,1,1
0,0.0001,0.999968,1,1,1,1,1,1,1
0,5.00E-05,0.999936,1,1,1,1,1,1,1
0,7.00E-05,0.999705,1,1,1,1,1,1,1
0,2.00E-05,0.998644,1,1,1,1,1,1,1
0,1.00E-05,0.995963,1,1,1,1,1,1,1
0,0,0.987952,1,1,1,1,1,1,1
0,0,0.970241,1,1,1,1,1,1,1
0,0,0.932641,1,1,1,1,1,1,1
0,0,0.87376,1,1,1,1,1,1,1
0,0,0.78367,1,1,1,1,1,1,1
0,0,0.67097,1,1,1,1,1,1,1
0,0,0.53743,1,1,1,1,1,1,1
0,0,0.40516,1,1,1,1,1,1,1
0,0,0.28597,1,1,1,1,1,1,1
0,0,0.18899,1,1,1,1,1,1,1
0,0,0.11617,1,1,1,1,1,1,1
0,0,0.06599,1,1,1,1,1,1,1
0,0,0.03608,1,1,1,1,1,1,1
0,0,0.01853,1,1,1,1,1,1,1
0,0,0.00869,1,1,1,1,1,1,1
0,0,0.00446,1,1,1,1,1,1,1
0,0,0.00191,1,1,1,1,1,1,1
0,0,0.00086,1,1,1,1,1,1,1
0,0,0.00029,1,1,1,1,1,1,1
0,0,0.00018,0.999983,1,1,1,1,1,1
0,0,4.00E-05,0.999982,1,1,1,1,1,1
0,0,4.00E-05,0.999941,1,1,1,1,1,1
0,0,2.00E-05,0.999871,1,1,1,1,1,1
0,0,4.00E-05,0.99965,1,1,1,1,1,1
0,0,0,0.99898,1,1,1,1,1,1
0,0,0,0.99829,1,1,1,1,1,1
0,0,0,0.99596,1,1,1,1,1,1
0,0,0,0.99199,1,1,1,1,1,1
0,0,0,0.98306,1,1,1,1,1,1
0,0,0,0.96856,1,1,1,1,1,1
0,0,0,0.9465,1,1,1,1,1,1
0,0,0,0.91087,1,1,1,1,1,1
0,0,0,0.86233,1,1,1,1,1,1
0,0,0,0.7986,1,1,1,1,1,1
0,0,0,0.71932,1,1,1,1,1,1
0,0,0,0.63088,1,1,1,1,1,1
0,0,0,0.53566,1,1,1,1,1,1
0,0,0,0.43349,1,1,1,1,1,1
0,0,0,0.34272,1,1,1,1,1,1
0,0,0,0.25798,1,1,1,1,1,1
0,0,0,0.18738,1,1,1,1,1,1
0,0,0,0.13171,1,1,1,1,1,1
0,0,0,0.08887,1,1,1,1,1,1
0,0,0,0.0573,1,1,1,1,1,1
0,0,0,0.03696,1,1,1,1,1,1
0,0,0,0.02236,1,1,1,1,1,1
0,0,0,0.01335,1,1,1,1,1,1
0,0,0,0.00777,1,1,1,1,1,1
0,0,0,0.00472,1,1,1,1,1,1
0,0,0,0.0026,1,1,1,1,1,1
0,0,0,0.00141,1,1,1,1,1,1
0,0,0,0.00072,1,1,1,1,1,1
0,0,0,0.00035,1,1,1,1,1,1
0,0,0,0.00023,1,1,1,1,1,1
0,0,0,0.00013,1,1,1,1,1,1
0,0,0,8.00E-05,1,1,1,1,1,1
0,0,0,1.00E-05,1,1,1,1,1,1
0,0,0,1.00E-05,1,1,1,1,1,1
0,0,0,1.00E-05,1,1,1,1,1,1
0,0,0,1.00E-05,1,1,1,1,1,1
0,0,0,0,0.984052,1,1,1,1,1
0,0,0,0,0.968471,1,1,1,1,1
0,0,0,0,0.943741,1,1,1,1,1
0,0,0,0,0.90141,1,1,1,1,1
0,0,0,0,0.83851,1,1,1,1,1
0,0,0,0,0.75632,1,1,1,1,1
0,0,0,0,0.65928,1,1,1,1,1
0,0,0,0,0.54525,1,1,1,1,1
0,0,0,0,0.43144,1,1,1,1,1
0,0,0,0,0.31974,1,1,1,1,1
0,0,0,0,0.22593,1,1,1,1,1
0,0,0,0,0.14834,1,1,1,1,1
0,0,0,0,0.0924,1,1,1,1,1
0,0,0,0,0.05415,1,1,1,1,1
0,0,0,0,0.03028,1,1,1,1,1
0,0,0,0,0.01541,1,1,1,1,1
0,0,0,0,0.0081,1,1,1,1,1
0,0,0,0,0.00356,1,1,1,1,1
0,0,0,0,0.00171,1,1,1,1,1
0,0,0,0,0.00079,1,1,1,1,1
0,0,0,0,0.00035,1,1,1,1,1
0,0,0,0,0.0002,1,1,1,1,1
0,0,0,0,6.00E-05,1,1,1,1,1
0,0,0,0,3.00E-05,1,1,1,1,1
0,0,0,0,3.00E-05,1,1,1,1,1
0,0,0,0,0,1,1,1,1,1
0,0,0,0,1.00E-05,1,1,1,1,1
0,0,0,0,1.00E-05,1,1,1,1,1
0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,1,1,1,1,1
0,0,0,0,1.00E-05,0.99996,1,1,1,1
0,0,0,0,0,0.99992,1,1,1,1
0,0,0,0,0,0.99987,1,1,1,1
0,0,0,0,0,0.99974,1,1,1,1
0,0,0,0,0,0.99958,1,1,1,1
0,0,0,0,0,0.99901,1,1,1,1
0,0,0,0,0,0.9975,1,1,1,1
0,0,0,0,0,0.99503,1,1,1,1
0,0,0,0,0,0.99044,1,1,1,1
0,0,0,0,0,0.98207,1,1,1,1
0,0,0,0,0,0.96881,1,1,1,1
0,0,0,0,0,0.94818,1,1,1,1
0,0,0,0,0,0.91681,0.999969,1,1,1
0,0,0,0,0,0.87105,0.999969,1,1,1
0,0,0,0,0,0.81189,0.999998,1,1,1
0,0,0,0,0,0.74349,0.999907,1,1,1
0,0,0,0,0,0.661,0.999777,1,1,1
0,0,0,0,0,0.56816,0.999516,1,1,1
0,0,0,0,0,0.47334,0.998805,1,1,1
0,0,0,0,0,0.37575,0.997764,1,1,1
0,0,0,0,0,0.29234,0.994653,1,1,1
0,0,0,0,0,0.21748,0.989732,1,1,1
0,0,0,0,0,0.15314,0.980882,1,1,1
0,0,0,0,0,0.1052,0.966841,1,1,1
0,0,0,0,0,0.06809,0.942121,1,1,1
0,0,0,0,0,0.04287,0.90941,1,1,1
0,0,0,0,0,0.02593,0.86141,1,1,1
0,0,0,0,0,0.01462,0.80096,1,1,1
0,0,0,0,0,0.00851,0.72738,1,1,1
0,0,0,0,0,0.00453,0.63621,0.999986,1,1
0,0,0,0,0,0.00223,0.54545,0.999965,1,1
0,0,0,0,0,0.00116,0.44659,0.999934,1,1
0,0,0,0,0,0.00066,0.35366,0.999754,1,1
0,0,0,0,0,0.00036,0.26717,0.999453,1,1
0,0,0,0,0,0.00014,0.19445,0.998752,1,1
0,0,0,0,0,0.00012,0.13517,0.997601,1,1
0,0,0,0,0,3.00E-05,0.08926,0.995041,1,1
0,0,0,0,0,1.00E-05,0.05687,0.988961,1,1
0,0,0,0,0,2.00E-05,0.03421,0.97889,1,1
0,0,0,0,0,1.00E-05,0.02028,0.96277,1,1
0,0,0,0,0,1.00E-05,0.01135,0.93554,1,1
0,0,0,0,0,1.00E-05,0.00656,0.89664,1,1
0,0,0,0,0,1.00E-05,0.00359,0.8432,1,1
0,0,0,0,0,0,0.00165,0.77296,1,1
0,0,0,0,0,1.00E-05,0.00087,0.68929,1,1
0,0,0,0,0,0,0.00037,0.59127,1,1
0,0,0,0,0,0,0.00018,0.48944,1,1
0,0,0,0,0,0,0.0001,0.38471,1,1
0,0,0,0,0,0,3.00E-05,0.29314,1,1
0,0,0,0,0,0,2.00E-05,0.20844,1,1
0,0,0,0,0,0,1.00E-05,0.14283,1,1
0,0,0,0,0,0,2.00E-05,0.09362,1,1
0,0,0,0,0,0,0,0.05638,1,1
0,0,0,0,0,0,0,0.03316,1,1
0,0,0,0,0,0,0,0.01902,1,1
0,0,0,0,0,0,0,0.0101,1,1
0,0,0,0,0,0,0,0.00534,1,1
0,0,0,0,0,0,0,0.00264,1,1
0,0,0,0,0,0,0,0.00131,1,1
0,0,0,0,0,0,0,0.0007,0.99999,1
0,0,0,0,0,0,0,0.00032,0.999979,1
0,0,0,0,0,0,0,6.00E-05,0.999989,1
0,0,0,0,0,0,0,4.00E-05,0.999999,1
0,0,0,0,0,0,0,2.00E-05,0.999958,1
0,0,0,0,0,0,0,1.00E-05,0.999907,1
0,0,0,0,0,0,0,1.00E-05,0.999887,1
0,0,0,0,0,0,0,0,0.999736,1
0,0,0,0,0,0,0,1.00E-05,0.999275,1
0,0,0,0,0,0,0,0,0.998784,1
0,0,0,0,0,0,0,0,0.997623,1
0,0,0,0,0,0,0,0,0.995403,1
0,0,0,0,0,0,0,0,0.992212,1
0,0,0,0,0,0,0,0,0.986052,1
0,0,0,0,0,0,0,0,0.976831,1
0,0,0,0,0,0,0,0,0.963201,1
0,0,0,0,0,0,0,0,0.938371,1
0,0,0,0,0,0,0,0,0.90994,1
0,0,0,0,0,0,0,0,0.87041,1
0,0,0,0,0,0,0,0,0.81859,1
0,0,0,0,0,0,0,0,0.75756,1
0,0,0,0,0,0,0,0,0.68456,1
0,0,0,0,0,0,0,0,0.60451,1
0,0,0,0,0,0,0,0,0.52437,1
0,0,0,0,0,0,0,0,0.43893,1
0,0,0,0,0,0,0,0,0.35652,1
0,0,0,0,0,0,0,0,0.2824,0.998683
0,0,0,0,0,0,0,0,0.21469,0.997602
0,0,0,0,0,0,0,0,0.15924,0.995222
0,0,0,0,0,0,0,0,0.11395,0.991121
0,0,0,0,0,0,0,0,0.07639,0.984541
0,0,0,0,0,0,0,0,0.05237,0.974471
0,0,0,0,0,0,0,0,0.03371,0.95708
0,0,0,0,0,0,0,0,0.02013,0.93385
0,0,0,0,0,0,0,0,0.01228,0.90034
0,0,0,0,0,0,0,0,0.00714,0.85582
0,0,0,0,0,0,0,0,0.00442,0.79839
0,0,0,0,0,0,0,0,0.00232,0.7321
0,0,0,0,0,0,0,0,0.00127,0.65621
0,0,0,0,0,0,0,0,0.00056,0.57076
0,0,0,0,0,0,0,0,0.00038,0.48118
0,0,0,0,0,0,0,0,0.00024,0.39669
0,0,0,0,0,0,0,0,9.00E-05,0.31571
0,0,0,0,0,0,0,0,4.00E-05,0.24472
0,0,0,0,0,0,0,0,4.00E-05,0.1797
0,0,0,0,0,0,0,0,0,0.1292
0,0,0,0,0,0,0,0,1.00E-05,0.08868
0,0,0,0,0,0,0,0,1.00E-05,0.05947
0,0,0,0,0,0,0,0,0,0.03861
0,0,0,0,0,0,0,0,1.00E-05,0.02366
0,0,0,0,0,0,0,0,0,0.01436
0,0,0,0,0,0,0,0,0,0.00806
0,0,0,0,0,0,0,0,0,0.00477
0,0,0,0,0,0,0,0,0,0.00258
0,0,0,0,0,0,0,0,0,0.00138
0,0,0,0,0,0,0,0,0,0.00086
0,0,0,0,0,0,0,0,0,0.00043
0,0,0,0,0,0,0,0,0,0.0003
0,0,0,0,0,0,0,0,0,0.00021
0,0,0,0,0,0,0,0,0,8.00E-05
0,0,0,0,0,0,0,0,0,5.00E-05
0,0,0,0,0,0,0,0,0,4.00E-05
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.00E-05
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
